,customerid,churn_probability,Classification
3677,6656-JWRQX,0.57,Risky
3678,6473-ULUHT,0.47,Non-risky
3679,1240-KNSEZ,1.0,High-risky
3680,0836-SEYLU,0.95,High-risky
3681,4433-JCGCG,0.98,High-risky
3682,3716-BDVDB,1.0,High-risky
3683,7688-AWMDX,0.0,Non-risky
3684,2842-BCQGE,0.66,Risky
3685,7244-QWYHG,0.03,Non-risky
3686,5899-MQZZL,1.0,High-risky
3687,6849-OYAMU,0.49,Non-risky
3688,5312-UXESG,0.98,High-risky
3689,9488-HGMJH,1.0,High-risky
3690,6038-GCYEC,0.31,Non-risky
3691,2150-WLKUW,0.14,Non-risky
3692,7159-FVYPK,0.86,High-risky
3693,7032-LMBHI,0.11,Non-risky
3694,1150-WFARN,0.16,Non-risky
3695,6088-BXMRG,0.91,High-risky
3696,3144-AUDBS,0.93,High-risky
3697,4821-SJHJV,0.83,High-risky
3698,7346-MEDWM,0.7,Risky
3699,1137-DGOWI,0.09,Non-risky
3700,5616-PRTNT,0.03,Non-risky
3701,3812-LRZIR,0.0,Non-risky
3702,4818-QIUFN,0.99,High-risky
3703,9483-GCPWE,0.0,Non-risky
3704,4227-OJHAL,0.01,Non-risky
3705,9220-CXRSC,0.0,Non-risky
3706,4993-JCRGJ,0.73,Risky
3707,9537-JALFH,0.0,Non-risky
3708,6698-OXETB,0.0,Non-risky
3709,2103-ZRXFN,0.95,High-risky
3710,3724-BSCVH,0.0,Non-risky
3711,4877-TSOFF,0.02,Non-risky
3712,9209-NWPGU,0.12,Non-risky
3713,6961-VCPMC,0.78,Risky
3714,7306-YDSOI,0.0,Non-risky
3715,5288-AHOUP,1.0,High-risky
3716,6688-UZPWD,1.0,High-risky
3717,0655-YDGFJ,0.17,Non-risky
3718,8468-EHYJA,0.72,Risky
3719,6823-SIDFQ,0.0,Non-risky
3720,1097-FSPVW,0.44,Non-risky
3721,2839-RFSQE,0.15,Non-risky
3722,8328-SKJNO,0.01,Non-risky
3723,7010-ZMVBF,0.0,Non-risky
3724,5201-CBWYG,0.0,Non-risky
3725,0968-GSIKN,1.0,High-risky
3726,1965-DDBWU,0.84,High-risky
3727,9057-SIHCH,1.0,High-risky
3728,6352-GIGGQ,0.24,Non-risky
3729,3635-QQRQD,0.0,Non-risky
3730,6771-XWBDM,0.93,High-risky
3731,2897-DOVND,1.0,High-risky
3732,3082-YVEKW,0.03,Non-risky
3733,0191-EQUUH,0.0,Non-risky
3734,7134-HBPBS,0.11,Non-risky
3735,3489-HHPFY,1.0,High-risky
3736,2926-JEJJC,0.09,Non-risky
3737,8601-QACRS,0.98,High-risky
3738,4950-BDEUX,0.55,Risky
3739,5789-LDFXO,0.01,Non-risky
3740,0508-OOLTO,1.0,High-risky
3741,2984-TBYKU,0.0,Non-risky
3742,9822-WMWVG,0.66,Risky
3743,2391-SOORI,0.98,High-risky
3744,9040-KZVWO,0.34,Non-risky
3745,2645-QTLMB,1.0,High-risky
3746,4806-HIPDW,1.0,High-risky
3747,1548-ARAGG,0.77,Risky
3748,6339-RZCBJ,0.02,Non-risky
3749,4424-TKOPW,1.0,High-risky
3750,4415-WNGVR,0.3,Non-risky
3751,2522-AHJXR,0.43,Non-risky
3752,0412-UCCNP,0.0,Non-risky
3753,1816-FLZDK,0.19,Non-risky
3754,7096-UCLNH,0.97,High-risky
3755,8443-ZRDBZ,1.0,High-risky
3756,9136-ALYBR,0.9,High-risky
3757,4615-PIVVU,0.1,Non-risky
3758,8885-QSQBX,0.28,Non-risky
3759,7479-NITWS,1.0,High-risky
3760,8617-ENBDS,1.0,High-risky
3761,9385-NXKDA,0.0,Non-risky
3762,0430-IHCDJ,0.84,High-risky
3763,2959-MJHIC,1.0,High-risky
3764,6674-KVJHG,0.02,Non-risky
3765,1814-DKOLC,0.06,Non-risky
3766,4201-JMNGR,0.72,Risky
3767,9351-HXDMR,0.08,Non-risky
3768,3537-HPKQT,0.26,Non-risky
3769,2129-ALKBS,0.08,Non-risky
3770,5821-MMEIL,0.0,Non-risky
3771,5960-WPXQM,1.0,High-risky
3772,0684-AOSIH,0.93,High-risky
3773,8260-NGFNY,0.74,Risky
3774,1309-XGFSN,0.06,Non-risky
3775,1866-RZZQS,0.98,High-risky
3776,6968-URWQU,0.2,Non-risky
3777,4742-TXUEX,0.0,Non-risky
3778,9631-XEYKE,0.92,High-risky
3779,8631-NBHFZ,0.0,Non-risky
3780,1335-MXCSE,0.0,Non-risky
3781,8873-TMKGR,0.0,Non-risky
3782,8800-JOOCF,1.0,High-risky
3783,1469-LBJQJ,0.96,High-risky
3784,4958-XCBDQ,0.99,High-risky
3785,8337-UPOAQ,1.0,High-risky
3786,0064-YIJGF,0.82,High-risky
3787,2386-OWURY,0.54,Risky
3788,1725-IQNIY,0.31,Non-risky
3789,0310-VQXAM,0.0,Non-risky
3790,6598-RFFVI,0.05,Non-risky
3791,3453-RTHJQ,1.0,High-risky
3792,6712-OAWRH,0.85,High-risky
3793,6278-FEPBZ,0.01,Non-risky
3794,4280-DLSHD,0.58,Risky
3795,1508-DFXCU,1.0,High-risky
3796,8614-VGMMV,0.86,High-risky
3797,7868-BGSZA,0.05,Non-risky
3798,2800-QQUSO,0.87,High-risky
3799,2930-UOTMB,0.29,Non-risky
3800,7973-DZRKH,0.01,Non-risky
3801,5914-DVBWJ,0.78,Risky
3802,7698-YFGEZ,0.95,High-risky
3803,2533-QVMSK,0.04,Non-risky
3804,9773-PEQBZ,1.0,High-risky
3805,8644-XLFBW,1.0,High-risky
3806,0650-BWOZN,0.99,High-risky
3807,8625-AZYZY,0.99,High-risky
3808,7785-RDVIG,0.19,Non-risky
3809,9602-WCXPI,0.0,Non-risky
3810,2903-YYTBW,0.76,Risky
3811,3620-MWJNE,0.7,Risky
3812,8573-JGCZW,0.0,Non-risky
3813,6837-HAEVO,0.2,Non-risky
3814,6701-YVNQG,0.0,Non-risky
3815,9306-CPCBC,1.0,High-risky
3816,4304-XUMGI,0.02,Non-risky
3817,9504-YAZWB,0.0,Non-risky
3818,8819-ZBYNA,0.45,Non-risky
3819,6174-NRBTZ,0.04,Non-risky
3820,9481-IEBZY,0.42,Non-risky
3821,1833-VGRUM,1.0,High-risky
3822,6137-NICCO,0.9,High-risky
3823,9065-ZCPQX,0.0,Non-risky
3824,6402-EJMWF,0.89,High-risky
3825,3620-EHIMZ,0.0,Non-risky
3826,3213-VVOLG,0.0,Non-risky
3827,6870-ECSHE,0.01,Non-risky
3828,8747-UDCOI,0.0,Non-risky
3829,8374-XGEJJ,0.97,High-risky
3830,2656-TABEH,1.0,High-risky
3831,6946-LMSQS,0.2,Non-risky
3832,4626-OZDTJ,0.04,Non-risky
3833,9169-BSVIN,0.92,High-risky
3834,2325-ZUSFD,0.05,Non-risky
3835,8194-PEEBY,0.0,Non-risky
3836,6872-HXFNF,0.02,Non-risky
3837,3932-CMDTD,0.52,Risky
3838,7714-YXSMB,0.98,High-risky
3839,8387-UGUSU,0.0,Non-risky
3840,1080-BWSYE,0.0,Non-risky
3841,4039-HEUNW,0.92,High-risky
3842,1194-HVAIF,0.96,High-risky
3843,0812-WUPTB,0.98,High-risky
3844,3594-UVONA,0.36,Non-risky
3845,0004-TLHLJ,1.0,High-risky
3846,1767-TGTKO,0.76,Risky
3847,8439-LTUGF,0.0,Non-risky
3848,8805-JNRAZ,0.9,High-risky
3849,5089-IFSDP,0.93,High-risky
3850,6418-HNFED,0.0,Non-risky
3851,0206-OYVOC,0.0,Non-risky
3852,7291-CDTMJ,0.52,Risky
3853,7128-GGCNO,0.53,Risky
3854,0237-YFUTL,0.8,High-risky
3855,7691-KGKGP,0.07,Non-risky
3856,6710-HSJRD,0.77,Risky
3857,3675-EQOZA,0.18,Non-risky
3858,0840-DCNZE,0.03,Non-risky
3859,1732-FEKLD,0.13,Non-risky
3860,9862-KJTYK,0.84,High-risky
3861,0479-HMSWA,0.4,Non-risky
3862,5854-KSRBJ,0.0,Non-risky
3863,0365-BZUWY,0.94,High-risky
3864,4817-VYYWS,1.0,High-risky
3865,5701-SVCWR,0.13,Non-risky
3866,3129-AAQOU,0.0,Non-risky
3867,4922-CVPDX,0.2,Non-risky
3868,1396-QWFBJ,0.92,High-risky
3869,1357-BIJKI,0.58,Risky
3870,1099-BTKWT,0.09,Non-risky
3871,5299-SJCZT,1.0,High-risky
3872,2018-PZKMU,0.97,High-risky
3873,7340-KEFQE,0.0,Non-risky
3874,4570-QHXHL,0.86,High-risky
3875,2403-BCASL,0.43,Non-risky
3876,7392-YYPYJ,0.84,High-risky
3877,2898-LSJGD,0.08,Non-risky
3878,2223-GDSHL,0.03,Non-risky
3879,7359-PTSXY,1.0,High-risky
3880,9470-RTWDV,0.21,Non-risky
3881,2176-OSJUV,0.0,Non-risky
3882,9348-YVOMK,0.92,High-risky
3883,8104-OSKWT,0.98,High-risky
3884,4521-YEEHE,0.84,High-risky
3885,4090-KPJIP,1.0,High-risky
3886,3786-WOVKF,0.21,Non-risky
3887,4503-BDXBD,0.98,High-risky
3888,6086-ESGRL,0.98,High-risky
3889,2592-HODOV,0.01,Non-risky
3890,3886-CERTZ,0.87,High-risky
3891,7995-ZHHNZ,0.01,Non-risky
3892,3824-RHKVR,0.26,Non-risky
3893,5816-SCGFC,0.71,Risky
3894,5989-AXPUC,0.03,Non-risky
3895,4979-HPRFL,0.0,Non-risky
3896,8590-OHDIW,0.0,Non-risky
3897,8015-IHCGW,0.0,Non-risky
3898,2332-TODQS,0.01,Non-risky
3899,9278-VZKCD,0.8,High-risky
3900,8008-OTEZX,0.0,Non-risky
3901,2773-OVBPK,0.55,Risky
3902,5999-LCXAO,0.62,Risky
3903,5206-XZZQI,0.23,Non-risky
3904,4803-LBYPN,0.0,Non-risky
3905,5759-RCVCB,0.99,High-risky
3906,6372-RFVNS,1.0,High-risky
3907,2139-FQHLM,0.75,Risky
3908,8261-GWDBQ,0.09,Non-risky
3909,1093-YSWCA,0.01,Non-risky
3910,8938-UMKPI,1.0,High-risky
3911,0991-BRRFB,0.71,Risky
3912,3882-IYOIJ,0.0,Non-risky
3913,8749-TZYEC,0.0,Non-risky
3914,1755-FZQEC,0.0,Non-risky
3915,3115-JPJDD,0.11,Non-risky
3916,5600-KTXFM,0.97,High-risky
3917,3871-IKPYH,1.0,High-risky
3918,6319-IEJWJ,0.97,High-risky
3919,9025-AOMKI,1.0,High-risky
3920,6339-TBELP,0.01,Non-risky
3921,7964-YESJC,0.44,Non-risky
3922,6173-GOLSU,0.61,Risky
3923,5275-SQEIZ,1.0,High-risky
3924,7716-YTYHG,0.88,High-risky
3925,9938-ZREHM,0.38,Non-risky
3926,7950-XWOVN,0.65,Risky
3927,4390-KYULV,0.06,Non-risky
3928,4647-MUZON,0.91,High-risky
3929,9702-AIUJO,0.02,Non-risky
3930,8849-PRIQJ,0.07,Non-risky
3931,8851-RAGOV,0.04,Non-risky
3932,1304-NECVQ,1.0,High-risky
3933,5396-IZEPB,0.07,Non-risky
3934,1729-VLAZJ,0.14,Non-risky
3935,8285-ABVLB,0.0,Non-risky
3936,0701-TJSEF,0.51,Risky
3937,5712-VBOXD,0.09,Non-risky
3938,6629-LADHQ,0.84,High-risky
3939,8945-GRKHX,1.0,High-risky
3940,1559-DTODC,0.72,Risky
3941,4797-MIWUM,0.09,Non-risky
3942,6959-UWKHF,0.98,High-risky
3943,8720-RQSBJ,0.93,High-risky
3944,4537-CIBHB,0.0,Non-risky
3945,3815-SLMEF,0.9,High-risky
3946,5154-VEKBL,0.75,Risky
3947,4324-AHJKS,0.71,Risky
3948,4355-CVPVS,0.32,Non-risky
3949,4495-LHSSK,0.5,Risky
3950,5655-JSMZM,1.0,High-risky
3951,5915-ANOEI,0.0,Non-risky
3952,9861-PDSZP,0.12,Non-risky
3953,4505-EXZHB,1.0,High-risky
3954,7225-CBZPL,0.74,Risky
3955,6704-UTUKK,0.54,Risky
3956,4587-VVTOX,1.0,High-risky
3957,2019-HDCZY,0.21,Non-risky
3958,4652-NNHNY,0.99,High-risky
3959,8788-DOXSU,0.02,Non-risky
3960,7404-JLKQG,0.99,High-risky
3961,7421-ZLUPA,0.81,High-risky
3962,8972-HJWNV,1.0,High-risky
3963,3274-NSDWE,0.0,Non-risky
3964,2632-IVXVF,0.06,Non-risky
3965,3692-JHONH,0.8,High-risky
3966,8915-NNTRC,0.01,Non-risky
3967,5914-GXMDA,0.0,Non-risky
3968,7463-IFMQU,0.0,Non-risky
3969,2920-RNCEZ,1.0,High-risky
3970,2541-YGPKE,0.01,Non-risky
3971,8515-OCTJS,0.06,Non-risky
3972,5382-TEMLV,0.26,Non-risky
3973,3441-CGZJH,0.03,Non-risky
3974,9592-ERDKV,0.07,Non-risky
3975,2860-RANUS,0.92,High-risky
3976,5261-QSHQM,1.0,High-risky
3977,4778-IZARL,0.03,Non-risky
3978,0432-CAJZV,1.0,High-risky
3979,7008-LZVOZ,0.0,Non-risky
3980,8868-WOZGU,0.95,High-risky
3981,1200-TUZHR,1.0,High-risky
3982,9365-CSLBQ,0.0,Non-risky
3983,1334-FJSVR,0.94,High-risky
3984,5884-FBCTL,0.0,Non-risky
3985,7130-CTCUS,0.19,Non-risky
3986,6242-FEGFD,0.01,Non-risky
3987,7625-XCQRH,1.0,High-risky
3988,6194-HBGQN,0.0,Non-risky
3989,7634-WSWDB,0.63,Risky
3990,6986-IXNDM,1.0,High-risky
3991,1731-TVIUK,0.97,High-risky
3992,2987-BJXIK,0.0,Non-risky
3993,9769-TSBZE,0.0,Non-risky
3994,0406-BPDVR,0.86,High-risky
3995,0618-XWMSS,0.86,High-risky
3996,1395-WSWXR,0.0,Non-risky
3997,6023-GSSXW,0.06,Non-risky
3998,6752-APNJL,0.42,Non-risky
3999,5276-KQWHG,1.0,High-risky
4000,0420-HLGXF,0.99,High-risky
4001,7446-KQISO,0.27,Non-risky
4002,9823-EALYC,0.0,Non-risky
4003,0582-AVCLN,0.0,Non-risky
4004,5803-NQJZO,0.0,Non-risky
4005,2565-JSLRY,0.38,Non-risky
4006,2607-DHDAK,0.0,Non-risky
4007,1073-XXCZD,0.0,Non-risky
4008,0743-HRVFF,0.03,Non-risky
4009,4006-HKYHO,0.01,Non-risky
4010,3727-JEZTU,0.67,Risky
4011,8143-ETQTI,0.0,Non-risky
4012,6689-KXGBO,0.92,High-risky
4013,9667-TKTVZ,0.82,High-risky
4014,3657-COGMW,0.33,Non-risky
4015,8570-KLJYJ,0.01,Non-risky
4016,7754-IXRMC,0.24,Non-risky
4017,9473-CBZOP,0.02,Non-risky
4018,2969-WGHQO,0.19,Non-risky
4019,6615-NGGZJ,1.0,High-risky
4020,4334-HOWRP,0.0,Non-risky
4021,4255-DDUOU,0.73,Risky
4022,5863-OOKCL,0.02,Non-risky
4023,1686-STUHN,0.0,Non-risky
4024,1329-VHWNP,0.83,High-risky
4025,2984-MIIZL,1.0,High-risky
4026,0266-GMEAO,0.0,Non-risky
4027,5590-YRFJT,0.73,Risky
4028,5574-NXZIU,0.16,Non-risky
4029,0019-GFNTW,0.0,Non-risky
4030,4256-ZWTZI,0.8,High-risky
4031,8309-PPCED,0.12,Non-risky
4032,4098-NAUKP,0.39,Non-risky
4033,5196-WPYOW,0.0,Non-risky
4034,4608-LCIMN,0.37,Non-risky
4035,1485-YDHMM,0.08,Non-risky
4036,4054-CUMIA,0.05,Non-risky
4037,0603-TPMIB,0.0,Non-risky
4038,2525-GVKQU,0.0,Non-risky
4039,8161-QYMTT,1.0,High-risky
4040,9581-GVBXT,0.04,Non-risky
4041,5862-BRIXZ,0.06,Non-risky
4042,5404-GGUKR,0.92,High-risky
4043,3308-JSGML,0.0,Non-risky
4044,2126-GSEGL,0.0,Non-risky
4045,3677-TNKIO,1.0,High-risky
4046,0440-QEXBZ,0.15,Non-risky
4047,2434-EEVDB,0.0,Non-risky
4048,6762-QVYJO,0.0,Non-risky
4049,6199-IWKGC,0.48,Non-risky
4050,2675-DHUTR,0.99,High-risky
4051,8152-VETUR,0.07,Non-risky
4052,9667-EQRXU,0.44,Non-risky
4053,7446-YPODE,0.39,Non-risky
4054,9522-BNTHX,0.51,Risky
4055,4676-WLUHT,0.03,Non-risky
4056,3329-WDIOK,0.95,High-risky
4057,7980-MHFLQ,0.0,Non-risky
4058,2873-ZLIWT,0.94,High-risky
4059,3415-TAILE,0.96,High-risky
4060,0757-WCUUZ,0.01,Non-risky
4061,1629-DQQVB,0.66,Risky
4062,1915-IOFGU,1.0,High-risky
4063,3045-XETSH,1.0,High-risky
4064,0374-AACSZ,0.8,High-risky
4065,7239-HZZCX,1.0,High-risky
4066,4872-VXRIL,0.03,Non-risky
4067,9140-CZQZZ,0.03,Non-risky
4068,3423-HHXAO,0.01,Non-risky
4069,9938-TKDGL,0.09,Non-risky
4070,0531-ZZJWQ,0.66,Risky
4071,6537-QLGEX,0.91,High-risky
4072,2688-BHGOG,1.0,High-risky
4073,7683-CBDKJ,0.5,Risky
4074,0946-CLJTI,0.99,High-risky
4075,3160-TYXLT,0.23,Non-risky
4076,1325-USMEC,0.0,Non-risky
4077,0916-QOFDP,0.95,High-risky
4078,0628-CNQRM,0.02,Non-risky
4079,5606-AMZBO,0.93,High-risky
4080,6199-IPCAO,0.0,Non-risky
4081,7665-TOALD,1.0,High-risky
4082,0112-QWPNC,0.18,Non-risky
4083,0324-BRPCJ,0.89,High-risky
4084,2777-PHDEI,1.0,High-risky
4085,5640-CAXOA,0.06,Non-risky
4086,2235-EZAIK,0.0,Non-risky
4087,3847-BAERP,0.03,Non-risky
4088,1196-AMORA,1.0,High-risky
4089,4282-YMKNA,1.0,High-risky
4090,1453-RZFON,0.72,Risky
4091,8263-OKETD,0.61,Risky
4092,0670-KDOMA,1.0,High-risky
4093,2476-YGEFM,0.9,High-risky
4094,8687-BAFGU,0.96,High-risky
4095,0641-EVBOJ,0.85,High-risky
4096,0829-XXPLX,0.78,Risky
4097,9974-JFBHQ,0.41,Non-risky
4098,5356-RHIPP,0.99,High-risky
4099,6624-JDRDS,0.67,Risky
4100,0608-JDVEC,0.0,Non-risky
4101,9780-FKVVF,0.15,Non-risky
4102,1919-RTPQD,0.24,Non-risky
4103,5214-NLTIT,0.02,Non-risky
4104,3345-PBBFH,0.62,Risky
4105,5055-BRMNE,0.08,Non-risky
4106,9189-JWSHV,0.98,High-risky
4107,2190-PHBHR,0.01,Non-risky
4108,2650-GYRYL,0.0,Non-risky
4109,0746-JTRFU,0.95,High-risky
4110,5208-FVQKB,0.0,Non-risky
4111,7184-LRUUR,0.11,Non-risky
4112,6627-CFOSN,0.28,Non-risky
4113,3982-JGSFD,0.0,Non-risky
4114,1574-DYCWE,0.0,Non-risky
4115,7247-XOZPB,0.02,Non-risky
4116,2466-FCCPT,0.0,Non-risky
4117,6211-WWLTF,0.02,Non-risky
4118,4826-TZEVA,0.81,High-risky
4119,6016-NXBNJ,0.0,Non-risky
4120,9138-EFSMO,0.42,Non-risky
4121,0576-WNXXC,0.96,High-risky
4122,4632-XJMEX,0.02,Non-risky
4123,8910-LEDAG,0.81,High-risky
4124,3452-GWUIN,0.28,Non-risky
4125,2716-GFZOR,0.64,Risky
4126,3724-UCSHY,0.02,Non-risky
4127,8626-XHBIE,0.0,Non-risky
4128,4628-CTTLA,0.84,High-risky
4129,3192-LNKRK,0.59,Risky
4130,4439-YRNVD,0.25,Non-risky
4131,2876-VBBBL,1.0,High-risky
4132,6834-NXDCA,0.94,High-risky
4133,2208-UGTGR,0.93,High-risky
4134,3005-TYFRD,0.96,High-risky
4135,8670-MEFCP,0.02,Non-risky
4136,3079-BCHLN,0.0,Non-risky
4137,7777-UNYHB,0.21,Non-risky
4138,5597-GLBUC,1.0,High-risky
4139,7278-CKDNC,0.96,High-risky
4140,2748-MYRVK,0.49,Non-risky
4141,8450-UYIBU,0.44,Non-risky
4142,2969-VAPYH,0.02,Non-risky
4143,4822-YCXMX,0.93,High-risky
4144,7181-OQCUT,0.81,High-risky
4145,8474-UMLNT,0.2,Non-risky
4146,9821-POOTN,0.99,High-risky
4147,3836-FZSDJ,0.0,Non-risky
4148,9142-XMYJH,0.01,Non-risky
4149,6559-ILWKJ,0.19,Non-risky
4150,0187-QSXOE,1.0,High-risky
4151,7733-UDMTP,0.47,Non-risky
4152,2649-HWLYB,0.01,Non-risky
4153,5214-CHIWJ,0.0,Non-risky
4154,4229-CZMLL,1.0,High-risky
4155,6904-JLBGY,0.02,Non-risky
4156,2465-BLLEU,0.99,High-risky
4157,1685-VAYJF,0.79,Risky
4158,8874-EJNSR,0.01,Non-risky
4159,6917-YACBP,0.13,Non-risky
4160,5049-MUBWG,0.15,Non-risky
4161,4223-WOZCM,1.0,High-risky
4162,0769-MURVM,0.0,Non-risky
4163,9253-VIFJQ,0.03,Non-risky
4164,7030-FZTFM,0.13,Non-risky
4165,9741-YLNTD,0.98,High-risky
4166,5917-RYRMG,0.0,Non-risky
4167,5120-ZBLAI,0.02,Non-risky
4168,1194-BHJYC,0.0,Non-risky
4169,3663-MITLP,1.0,High-risky
4170,0906-QVPMS,0.01,Non-risky
4171,9025-ZRPVR,0.01,Non-risky
4172,1905-OEILC,0.31,Non-risky
4173,7858-GTZSP,1.0,High-risky
4174,3285-UCQVC,0.26,Non-risky
4175,6248-BSHKG,0.0,Non-risky
4176,4685-TFLLS,0.0,Non-risky
4177,3470-BTGQO,0.24,Non-risky
4178,1209-VFFOC,0.01,Non-risky
4179,8224-DWCKX,1.0,High-risky
4180,5482-PLVPE,0.97,High-risky
4181,4553-DVPZG,0.33,Non-risky
4182,4902-OHLSK,1.0,High-risky
4183,6917-IAYHD,0.54,Risky
4184,0495-ZBNGW,1.0,High-risky
4185,8620-RJPZN,0.6,Risky
4186,7572-KPVKK,0.23,Non-risky
4187,2642-MAWLJ,0.0,Non-risky
4188,2357-COQEK,0.99,High-risky
4189,7103-ZGVNT,0.0,Non-risky
4190,3737-GCSPV,0.78,Risky
4191,2027-WKXMW,0.66,Risky
4192,7137-NAXML,0.0,Non-risky
4193,2428-ZMCTB,0.04,Non-risky
4194,2961-VNFKL,0.0,Non-risky
4195,1768-HNVGJ,0.3,Non-risky
4196,6963-KQYQB,0.0,Non-risky
4197,5934-RMPOV,0.89,High-risky
4198,1207-BLKSA,0.0,Non-risky
4199,4088-YLDSU,0.67,Risky
4200,8316-BBQAY,0.01,Non-risky
4201,1166-PQLGG,0.0,Non-risky
4202,3146-JTQHR,0.03,Non-risky
4203,4291-YZODP,0.01,Non-risky
4204,4395-PZMSN,1.0,High-risky
4205,6427-FEFIG,0.02,Non-risky
4206,0017-IUDMW,0.0,Non-risky
4207,8706-HRADD,0.52,Risky
4208,9955-QOPOY,0.03,Non-risky
4209,4385-ZKVNW,0.13,Non-risky
4210,5446-DKWYW,0.01,Non-risky
4211,2034-CGRHZ,0.86,High-risky
4212,5797-APWZC,1.0,High-risky
4213,3683-QKIUE,1.0,High-risky
4214,4228-ZGYUW,1.0,High-risky
4215,9031-ZVQPT,0.25,Non-risky
4216,2990-IAJSV,0.01,Non-risky
4217,8107-KNCIM,0.99,High-risky
4218,9027-YFHQJ,0.36,Non-risky
4219,5176-LDKUH,0.39,Non-risky
4220,4644-OBGFZ,0.0,Non-risky
4221,7926-IJOOU,0.12,Non-risky
4222,6480-YAGIY,0.42,Non-risky
4223,4029-HPFVY,0.99,High-risky
4224,7602-DBTOU,0.0,Non-risky
4225,5345-BMKWB,0.03,Non-risky
4226,3519-ZKXGG,1.0,High-risky
4227,5457-COLHT,0.03,Non-risky
4228,6416-TVAIH,1.0,High-risky
4229,5451-YHYPW,0.0,Non-risky
4230,5108-ADXWO,1.0,High-risky
4231,7998-WNZEM,0.0,Non-risky
4232,3066-RRJIO,1.0,High-risky
4233,4664-NJCMS,0.04,Non-risky
4234,0307-BCOPK,0.01,Non-risky
4235,7629-WFGLW,0.08,Non-risky
4236,2542-HYGIQ,0.16,Non-risky
4237,6715-OFDBP,0.99,High-risky
4238,5016-LIPDW,0.0,Non-risky
4239,6481-LXPWL,0.06,Non-risky
4240,1567-DSCIC,1.0,High-risky
4241,2150-UWTFY,0.29,Non-risky
4242,6124-ACRHJ,0.61,Risky
4243,9362-MWODR,0.09,Non-risky
4244,9975-GPKZU,0.0,Non-risky
4245,9625-RZFUK,0.0,Non-risky
4246,5153-LXKDT,0.05,Non-risky
4247,5161-UBZXI,0.01,Non-risky
4248,1020-JPQOW,0.44,Non-risky
4249,7919-ZODZZ,0.33,Non-risky
4250,0565-JUPYD,0.3,Non-risky
4251,6867-ACCZI,0.02,Non-risky
4252,5939-XAIXZ,0.57,Risky
4253,9054-FOWNV,0.97,High-risky
4254,2683-BPJSO,0.94,High-risky
4255,2157-MXBJS,0.81,High-risky
4256,8207-VVMYB,0.0,Non-risky
4257,9732-EQMWY,0.6,Risky
4258,9360-AHGNL,0.57,Risky
4259,1087-UDSIH,0.06,Non-risky
4260,5269-NRGDP,0.11,Non-risky
4261,6195-MELTI,0.19,Non-risky
4262,5485-WUYWF,0.56,Risky
4263,2121-JAFOM,0.0,Non-risky
4264,8818-DOPVL,1.0,High-risky
4265,2632-UCGVD,0.55,Risky
4266,5445-PZWGX,0.84,High-risky
4267,1227-UDMZR,0.0,Non-risky
4268,5198-HQAEN,0.36,Non-risky
4269,9170-CCKOU,0.98,High-risky
4270,2167-FQSTQ,0.0,Non-risky
4271,2819-GWENI,0.0,Non-risky
4272,1043-YCUTE,0.0,Non-risky
4273,3814-MLAXC,0.93,High-risky
4274,3572-UUHRS,0.0,Non-risky
4275,2692-PFYTJ,0.49,Non-risky
4276,1226-UDFZR,0.95,High-risky
4277,5955-EPOAZ,0.02,Non-risky
4278,6821-JPCDC,0.24,Non-risky
4279,8815-LMFLX,0.03,Non-risky
4280,9135-HSWOC,0.0,Non-risky
4281,8582-KRHPJ,0.36,Non-risky
4282,5811-IWXYM,0.4,Non-risky
4283,7044-YAACC,1.0,High-risky
4284,8189-XRIKE,0.86,High-risky
4285,1506-YJTYT,0.0,Non-risky
4286,4123-DVHPH,0.32,Non-risky
4287,6425-YQLLO,0.34,Non-risky
4288,5442-UTCVD,1.0,High-risky
4289,2228-BZDEE,0.0,Non-risky
4290,7734-DBOAI,0.76,Risky
4291,2789-CZANW,0.02,Non-risky
4292,2091-RFFBA,0.95,High-risky
4293,2114-MGINA,0.97,High-risky
4294,7596-LDUXP,0.38,Non-risky
4295,3740-RLMVT,0.01,Non-risky
4296,4489-SNOJF,0.31,Non-risky
4297,2192-OZITF,0.01,Non-risky
4298,5651-CPDND,0.61,Risky
4299,2186-QZEYA,0.47,Non-risky
4300,1131-ALZWV,0.03,Non-risky
4301,7729-XBTWX,0.0,Non-risky
4302,9134-WYRVP,0.24,Non-risky
4303,3284-SVCRO,0.04,Non-risky
4304,9732-OUYRN,0.0,Non-risky
4305,0559-CKHUS,0.0,Non-risky
4306,2931-SVLTV,0.45,Non-risky
4307,6899-PPEEA,0.99,High-risky
4308,7504-UWHNB,0.98,High-risky
4309,2582-FFFZR,0.49,Non-risky
4310,8908-NMQTX,0.0,Non-risky
4311,2187-LZGPL,0.97,High-risky
4312,1431-AIDJQ,0.03,Non-risky
4313,6288-LBEAR,0.63,Risky
4314,4597-NUCQV,0.8,High-risky
4315,9019-QVLZD,1.0,High-risky
4316,8413-YNHNV,0.08,Non-risky
4317,5808-TOTXO,0.05,Non-risky
4318,4369-NYSCF,0.11,Non-risky
4319,6333-YDVLT,0.59,Risky
4320,5324-KTGCG,0.0,Non-risky
4321,5599-HVLTW,0.96,High-risky
4322,7394-LWLYN,1.0,High-risky
4323,3707-LRWZD,0.78,Risky
4324,6873-UDNLD,0.51,Risky
4325,2700-LUEVA,0.2,Non-risky
4326,1455-ESIQH,0.99,High-risky
